id;documento
1;O Flamengo venceu o Palmeiras por 2 a 1 no Maracanã.
2;O Corinthians contratou um novo atacante para a temporada.
3;O Grêmio empatou com o Internacional no clássico gaúcho.
4;O Santos venceu fora de casa pela Copa do Brasil.
5;O goleiro fez grandes defesas durante a partida.
6;O Flamengo venceu o Palmeiras por 2 a 1 no Maracanã.
7;O Corinthians contratou um novo atacante para a temporada.
8;O Grêmio empatou com o Internacional no clássico gaúcho.
9;O Santos venceu fora de casa pela Copa do Brasil.
10;O goleiro fez grandes defesas durante a partida.
11;O Flamengo venceu o Palmeiras por 2 a 1 no Maracanã.
12;O Corinthians contratou um novo atacante para a temporada.
13;O Grêmio empatou com o Internacional no clássico gaúcho.
14;O Santos venceu fora de casa pela Copa do Brasil.
15;O goleiro fez grandes defesas durante a partida.
16;O Flamengo venceu o Palmeiras por 2 a 1 no Maracanã.
17;O Corinthians contratou um novo atacante para a temporada.
18;O Grêmio empatou com o Internacional no clássico gaúcho.
19;O Santos venceu fora de casa pela Copa do Brasil.
20;O goleiro fez grandes defesas durante a partida.
21;O Flamengo venceu o Palmeiras por 2 a 1 no Maracanã.
22;O Corinthians contratou um novo atacante para a temporada.
23;O Grêmio empatou com o Internacional no clássico gaúcho.
24;O Santos venceu fora de casa pela Copa do Brasil.
25;O goleiro fez grandes defesas durante a partida.
26;O Flamengo venceu o Palmeiras por 2 a 1 no Maracanã.
27;O Corinthians contratou um novo atacante para a temporada.
28;O Grêmio empatou com o Internacional no clássico gaúcho.
29;O Santos venceu fora de casa pela Copa do Brasil.
30;O goleiro fez grandes defesas durante a partida.
31;O Flamengo venceu o Palmeiras por 2 a 1 no Maracanã.
32;O Corinthians contratou um novo atacante para a temporada.
33;O Grêmio empatou com o Internacional no clássico gaúcho.
34;O Santos venceu fora de casa pela Copa do Brasil.
35;O goleiro fez grandes defesas durante a partida.
36;O Flamengo venceu o Palmeiras por 2 a 1 no Maracanã.
37;O Corinthians contratou um novo atacante para a temporada.
38;O Grêmio empatou com o Internacional no clássico gaúcho.
39;O Santos venceu fora de casa pela Copa do Brasil.
40;O goleiro fez grandes defesas durante a partida.
41;O Flamengo venceu o Palmeiras por 2 a 1 no Maracanã.
42;O Corinthians contratou um novo atacante para a temporada.
43;O Grêmio empatou com o Internacional no clássico gaúcho.
44;O Santos venceu fora de casa pela Copa do Brasil.
45;O goleiro fez grandes defesas durante a partida.
46;O Flamengo venceu o Palmeiras por 2 a 1 no Maracanã.
47;O Corinthians contratou um novo atacante para a temporada.
48;O Grêmio empatou com o Internacional no clássico gaúcho.
49;O Santos venceu fora de casa pela Copa do Brasil.
50;O goleiro fez grandes defesas durante a partida.
